Temperature (mK),Frequency Shift (kHz)
26.73780487804879, -0.2986377203528985
60.70557491289202, -0.4036450126705189
94.67334494773519, -0.4174249438945328
128.64111498257842, -0.19401373627516616
162.60888501742164, -0.04358441753068476
196.5766550522648, -0.1314195007012735
230.54442508710804, -0.1934962701513152
264.5121951219512, -0.30923619318583206
298.4799651567945, -0.2854519169007128
332.44773519163766, -0.3797265785014403
366.41550522648083, -0.4847338708190607
400.3832752613241, -0.5253453788353122
434.3510452961673, -0.6196200404360388
468.31881533101046, -0.7138947020367654
502.28658536585374, -1.0120893472584989
536.2543554006969, -1.4712734532336578
570.2221254355401, -1.780200729172286
604.1898954703834, -2.20718694299676
638.1576655052265, -2.870291032592924
672.1254355400697, -3.64072142935804
706.0932055749129, -4.400419195406261
740.060975609756, -5.482095882961335
774.0287456445994, -6.756959923420521
807.9965156794426, -8.064021856030392
841.9642857142858, -9.768191125165378
874.3880662020906, -11.771906201067708
906.8118466898954, -13.863628848848577
941.294279907085, -16.71138441000629
963.4247967479675, -19.33465479064286
987.0993031358885, -22.339481195631205
1001.7672038327526, -24.476189856716058
1024.1550522648083, -27.616996811837765
1039.5949477351917, -30.591027948901377
1053.4908536585367, -33.435299664056544
1065.8427700348432, -36.533503505432236
1076.6506968641115, -39.47440083939278
1085.9146341463415, -42.30718289005726
1095.1785714285716, -45.297376857902876
1100.0311100049776, -47.690081501499115
1107.530487804878, -50.904333129352786
1114.941637630662, -53.701823990370684
1119.8824041811847, -56.70805429727912
1126.058362369338, -59.668944350185214
1132.2343205574914, -62.94465823745355
1136.8662891986064, -65.18746182798671
1141.4982578397214, -67.96153063900618
1154.070744151319, -73.29089280153174
1158.482142857143, -69.70174046539675
1163.886106271777, -76.79474604919042
1166.2020905923346, -79.74212608375808
1173.9220383275263, -65.48007933831806
1174.4367015098724, -72.4455215369943

1175.4660278745646, -68.19532949992654

1176.2380226480836, -58.1307523402752

1177.010017421603, -51.194737034598774

1189.2431653712142, -47.632673463852505

1210.977787456446, -47.76870882105792
1308.2491289198606, -49.820586577302315
1359.2007839721255, -50.83796011338067
